time,open,high,low,close,SPY
1431043200,1.57,1.57,1.57,1.57,211.62
1431302400,1.66,1.66,1.66,1.66,210.605
1431388800,1.67,1.67,1.67,1.67,209.98
1431475200,1.68,1.68,1.68,1.68,210.02
1431561600,1.67,1.67,1.67,1.67,212.21
1431648000,1.59,1.59,1.59,1.59,212.44
1431907200,1.65,1.65,1.65,1.65,213.1
1431993600,1.64,1.64,1.64,1.64,213.03
1432080000,1.66,1.66,1.66,1.66,212.88
1432166400,1.59,1.59,1.59,1.59,213.5
1432252800,1.57,1.57,1.57,1.57,212.99
1432598400,1.5,1.5,1.5,1.5,210.7
1432684800,1.5,1.5,1.5,1.5,212.7
1432771200,1.51,1.51,1.51,1.51,212.46
1432857600,1.51,1.51,1.51,1.51,211.14
1433116800,1.55,1.55,1.55,1.55,211.57
1433203200,1.63,1.63,1.63,1.63,211.36
1433289600,1.69,1.69,1.69,1.69,211.92
1433376000,1.65,1.65,1.65,1.65,210.1292
1433462400,1.68,1.68,1.68,1.68,209.77
1433721600,1.69,1.69,1.69,1.69,208.48
1433808000,1.7,1.7,1.7,1.7,208.45
1433894400,1.75,1.75,1.75,1.75,210.95
1433980800,1.66,1.66,1.66,1.66,211.63
1434067200,1.65,1.65,1.65,1.65,210.01
1434326400,1.64,1.64,1.64,1.64,209.11
1434412800,1.61,1.61,1.61,1.61,210.25
1434499200,1.65,1.65,1.65,1.65,210.59
1434585600,1.69,1.69,1.69,1.69,212.78
1434672000,1.61,1.61,1.61,1.61,210.81
1434931200,1.69,1.69,1.69,1.69,211.89
1435017600,1.72,1.72,1.72,1.72,212.04
1435104000,1.7,1.7,1.7,1.7,210.5
1435190400,1.72,1.72,1.72,1.72,209.86
1435276800,1.77,1.77,1.77,1.77,209.82
1435536000,1.69,1.69,1.69,1.69,205.42
1435622400,1.71,1.71,1.71,1.71,205.85
1435708800,1.74,1.74,1.74,1.74,207.5
1435795200,1.76,1.76,1.76,1.76,207.31
1436140800,1.7,1.7,1.7,1.7,206.72
1436227200,1.69,1.69,1.69,1.69,208.02
1436313600,1.67,1.67,1.67,1.67,204.53
1436400000,1.72,1.72,1.72,1.72,204.9
1436486400,1.77,1.77,1.77,1.77,207.48
1436745600,1.75,1.75,1.75,1.75,209.77
1436832000,1.75,1.75,1.75,1.75,210.68
1436918400,1.72,1.72,1.72,1.72,210.61
1437004800,1.69,1.69,1.69,1.69,212.3
1437091200,1.66,1.66,1.66,1.66,212.48
1437350400,1.67,1.67,1.67,1.67,212.59
1437436800,1.64,1.64,1.64,1.64,211.75
1437523200,1.58,1.58,1.58,1.58,211.37
1437609600,1.57,1.57,1.57,1.57,210.18
1437696000,1.57,1.57,1.57,1.57,208
1437955200,1.55,1.55,1.55,1.55,206.79
1438041600,1.57,1.57,1.57,1.57,209.33
1438128000,1.59,1.59,1.59,1.59,210.77
1438214400,1.56,1.56,1.56,1.56,210.82
1438300800,1.53,1.53,1.53,1.53,210.5
1438560000,1.48,1.48,1.48,1.48,209.79
1438646400,1.49,1.49,1.49,1.49,209.38
